Αγαυη	Ἀγαύη
ἀθύρμα	ἀθύρμα
αἰγίς	αἰγίς
ἀΐδης	ἀΐδης
αἰθέριος	αἰθέριος
αἶθοψ	αἴθοψ
αἶνος	αἶνος
αἴολος	αἴολος
ἀίσσω	ἀΐσσω
ἄιστος	ἄιστος
ἀιστώζω	ἀιστόω
αἰτέω	αἰτέω
αἰχμητὴς	αἰχμητής
αἰών	αἰών
ἀλέξανδρος	Ἀλέξανδρος
ἅλιος	ἅλιος
ἅλις	ἅλις
ἀλλοῖος	ἀλλοῖος
ἀλλότριος	ἀλλότριος
ἄλς	ἅλς
ἀλύσσω	ἀλύσσω
ἀμάρυγμα	ἀμάρυγμα
ἀμοιβαδὶς	ἀμοιβαδίς
ἀμφότερος	ἀμφότερος
ἀναγκαίος	ἀναγκαῖος
ἀναιμωτὶ	ἀναιμωτί
ἀναΐσσω	ἀναΐσσω
ἄναλκις	ἀνάλκις
ἄναξ	ἄναξ
ἀνάσσα	ἄνασσα
ἀνδρόμεος	ἀνδρόμεος
ἄνεμός	ἄνεμος
ἄνια	ἀνία
ἀντίβιος	ἀντίβιος
ἀντίθεος	ἀντίθεος
ἀντίτυπος	ἀντίτυπος
ἄξιος	ἄξιος
ἀοιδὴ	ἀοιδή
ἀοιδός	ἀοιδός
ἀπειλή	ἀπειλή
ἀπὀ	ἀπό
ἀποθρώσκω	ἀποθρῴσκω
ἀπροϊδὴς	ἀπροϊδής
ἀργής	ἀργής
ἄργος	ἀργός
ἅρμα	ἅρμα
ἀρνειός	ἀρνειός
ἀροτρεὺς	ἀροτρεύς
ἀρότρον	ἄροτρον
ἀσπαστὸς	ἀσπαστός
ἀστεροπή	ἀστεροπή
ἀστράγαλος	ἀστράγαλος
ἀστραίος	ἀστραῖος
ἀτμὸς	ἀτμός
ἀτρείδης	Ἀτρείδης
αὔλαξ	αὔλαξ
αὖρα	αὔρα
αὐτογόνος	αὐτόγονος 
αὐτός	αὐτός
αὐτοτελής	αὐτοτελής
ἀφνειος	ἀφνειός
ἀχεύῳ	ἀχεύω
βαιὸς	βαιός
βέλεμνον	βέλεμνον
βλεφάρον	βλέφαρον
βρονταῖος	βρονταῖος
βροτέη	βροτέη
βύθιος	βύθιος
βυθὸς	βυθός
γαιά	γαῖα
γαλήνῃ	γαλήνη
γάμιος	γάμιος
γενέθλη	γενέθλη
γένειον	γενείον
γενέτη	γενετή
γηράλεος	γηραλέος
γλαῦκος	γλαυκός
γλυκερὸς	γλυκερός
γνωτῆ	γνωτή
γυίον	γυῖον
δαιδαλέος	δαιδάλεος
δαίζω	δαΐζω
δαιμόνιος	δαιμόνιος
δάις	δαίς
δακρύω	δακρύω
δάπεδον	δάπεδον
δἐ	δέ
δειλὴ	δειλή
δείμα	δεῖμα
δείπνον	δεῖπνον
δέσποινα	δέσποινα
δηῖος	δηῖος
